,1,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
1,2,4/26/2023 17:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,45,p2,32,1006,64,1.54,160
2,3,4/26/2023 17:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,37,p2,33,1007,68,1.54,160
3,4,4/26/2023 17:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,114,p2,34,1004,44,3.3,156
4,5,4/26/2023 17:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1004,41,2.73,162
5,6,4/26/2023 17:18:33,TH-16,Ban Mi,Lop Buri,Thailand,59,p2,36,1003,37,1.22,230
6,7,4/26/2023 17:19:04,TH-20,Na Kluea,Chon Buri,Thailand,70,p2,31,1005,64,3.39,162
7,8,4/26/2023 17:19:35,TH-21,Ban Khai,Rayong,Thailand,51,p2,30,1007,79,2.52,128
8,9,4/26/2023 17:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,121,p2,30,979,47,6.17,240
9,10,4/26/2023 17:20:37,TH-52,Hang Chat,Lampang,Thailand,74,p2,26,1006,76,4.14,241
10,11,4/26/2023 18:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,30,1005,63,4.71,175
11,12,4/26/2023 18:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,72,p2,31,1005,57,4.08,181
12,13,4/26/2023 18:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,59,p2,31,1007,65,2.57,170
13,14,4/26/2023 18:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,29,p2,32,1008,69,2.57,170
14,15,4/26/2023 18:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,102,p2,34,1004,46,3.23,164
